Applied time(s),Measured Potential(V)
0.0,-3.116516
0.999999,-3.116516
1.9999989999999999,-3.116516
2.999999,-3.116516
3.999999,-3.1164199999999997
4.999999,-3.116516
5.999999,-3.116516
6.999999,-3.1164199999999997
7.999999,-3.116516
8.999998999999999,-3.1164199999999997
9.999998999999999,-3.1164199999999997
10.999998999999999,-3.1164199999999997
11.999998999999999,-3.1164199999999997
12.999998999999999,-3.1164199999999997
13.999998999999999,-3.1164199999999997
14.999998999999999,-3.116516
15.999998999999999,-3.1164199999999997
16.999997999999998,-3.116516
17.999997999999998,-3.1164199999999997
18.999997999999998,-3.1164199999999997
19.999997999999998,-3.1164199999999997
20.999997999999998,-3.1164199999999997
21.999997999999998,-3.1164199999999997
22.999997999999998,-3.1164199999999997
23.999997999999998,-3.1164199999999997
24.999997999999998,-3.1164199999999997
25.999997999999998,-3.1164199999999997
26.999997999999998,-3.1164199999999997
27.999997999999998,-3.1164199999999997
28.999997999999998,-3.1164199999999997
29.999997999999998,-3.1164199999999997
30.999997999999998,-3.1164199999999997
31.999997999999998,-3.1164199999999997
32.999998,-3.1164199999999997
33.999995999999996,-3.1164199999999997
34.999995999999996,-3.1164199999999997
35.999995999999996,-3.1164199999999997
36.999995999999996,-3.1164199999999997
37.999995999999996,-3.1164199999999997
38.999995999999996,-3.1164199999999997
39.999995999999996,-3.1164199999999997
40.999995999999996,-3.1164199999999997
41.999995999999996,-3.1164199999999997
42.999995999999996,-3.1164199999999997
43.999995999999996,-3.1164199999999997
44.999995999999996,-3.1164199999999997
45.999995999999996,-3.1164199999999997
46.999995999999996,-3.1164199999999997
47.999995999999996,-3.1164199999999997
48.999995999999996,-3.1164199999999997
49.999995999999996,-3.1164199999999997
50.999995999999996,-3.1164199999999997
51.999995999999996,-3.1164199999999997
52.999995999999996,-3.1164199999999997
53.999995999999996,-3.1164199999999997
54.999995999999996,-3.1164199999999997
55.999995999999996,-3.1164199999999997
56.999995999999996,-3.1164199999999997
57.999995999999996,-3.1164199999999997
58.999995999999996,-3.1164199999999997
